set gpu: 0,1
train dataset: torch.Size([3, 80, 80]) (x38400), 64
val dataset: torch.Size([3, 80, 80]) (x18748), 64
fs dataset: torch.Size([3, 80, 80]) (x12000), 20
num params: 8.0M
epoch 63, train 1.4066|0.6178, val 1.4768|0.6094, 50.6s 1.1h/1.7h
epoch 64, train 1.3980|0.6182, val 1.4371|0.6111, 50.8s 1.1h/1.7h
epoch 65, train 1.4107|0.6169, val 1.4621|0.6036, fs 1: 0.5241 5: 0.6948, 1.7m 1.1h/1.7h
epoch 66, train 1.4082|0.6179, val 1.4694|0.6176, 51.4s 1.1h/1.7h
epoch 67, train 1.4074|0.6176, val 1.3873|0.6314, 50.0s 1.1h/1.7h
epoch 68, train 1.4123|0.6177, val 1.3595|0.6371, 50.6s 1.2h/1.7h
epoch 69, train 1.3966|0.6192, val 1.3800|0.6245, 50.9s 1.2h/1.7h
epoch 70, train 1.3991|0.6210, val 1.5467|0.6003, fs 1: 0.5524 5: 0.7301, 1.7m 1.2h/1.7h
epoch 71, train 1.3840|0.6226, val 1.3671|0.6290, 50.9s 1.2h/1.7h
epoch 72, train 1.3879|0.6238, val 1.3986|0.6301, 51.2s 1.2h/1.7h
epoch 73, train 1.3988|0.6200, val 1.3641|0.6334, 50.6s 1.3h/1.7h
epoch 74, train 1.3885|0.6207, val 1.7006|0.5679, 50.3s 1.3h/1.7h
epoch 75, train 1.3901|0.6236, val 1.3901|0.6368, fs 1: 0.5457 5: 0.7179, 1.7m 1.3h/1.7h
epoch 76, train 1.3861|0.6223, val 1.5296|0.6039, 51.1s 1.3h/1.7h
epoch 77, train 1.3817|0.6265, val 1.5037|0.6027, 51.1s 1.3h/1.7h
epoch 78, train 1.3900|0.6231, val 1.5202|0.5927, 51.0s 1.3h/1.7h
epoch 79, train 1.3963|0.6175, val 1.4210|0.6165, 50.7s 1.4h/1.7h
epoch 80, train 1.3829|0.6259, val 1.3691|0.6303, fs 1: 0.5523 5: 0.7278, 1.7m 1.4h/1.7h
epoch 81, train 1.3821|0.6234, val 1.5348|0.6077, 51.1s 1.4h/1.7h
epoch 82, train 1.3753|0.6253, val 1.3742|0.6335, 50.5s 1.4h/1.7h
epoch 83, train 1.3833|0.6255, val 1.4082|0.6210, 50.4s 1.4h/1.7h
epoch 84, train 1.3903|0.6203, val 1.4090|0.6229, 51.3s 1.4h/1.7h
epoch 85, train 1.3870|0.6226, val 1.3680|0.6260, fs 1: 0.5323 5: 0.6994, 1.7m 1.5h/1.7h
epoch 86, train 1.3817|0.6235, val 1.3610|0.6301, 50.4s 1.5h/1.7h
epoch 87, train 1.3779|0.6272, val 1.4271|0.6107, 50.7s 1.5h/1.7h
epoch 88, train 1.3776|0.6248, val 1.3253|0.6396, 50.7s 1.5h/1.7h
epoch 89, train 1.3730|0.6252, val 1.4075|0.6215, 50.8s 1.5h/1.7h
epoch 90, train 1.3752|0.6271, val 1.4956|0.6071, fs 1: 0.5496 5: 0.7247, 1.7m 1.6h/1.7h
epoch 91, train 1.0258|0.7215, val 0.8455|0.7680, 50.9s 1.6h/1.7h
epoch 92, train 0.9009|0.7516, val 0.8112|0.7784, 50.5s 1.6h/1.7h
epoch 93, train 0.8452|0.7668, val 0.7927|0.7815, 50.8s 1.6h/1.7h
epoch 94, train 0.8143|0.7777, val 0.7902|0.7853, 50.5s 1.6h/1.7h
epoch 95, train 0.7815|0.7861, val 0.7754|0.7883, fs 1: 0.6069 5: 0.7825, 1.7m 1.6h/1.7h
epoch 96, train 0.7702|0.7876, val 0.7807|0.7882, 50.6s 1.7h/1.7h
epoch 97, train 0.7456|0.7951, val 0.7798|0.7882, 51.2s 1.7h/1.7h
epoch 98, train 0.7273|0.7989, val 0.7931|0.7870, 51.9s 1.7h/1.7h
epoch 99, train 0.7281|0.7970, val 0.7836|0.7864, 50.4s 1.7h/1.7h
epoch 100, train 0.7020|0.8071, val 0.7788|0.7877, fs 1: 0.6012 5: 0.7837, 1.7m 1.7h/1.7h
